# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
6.691148692481336112e-08,4.567344310421866393e-01,5.673443104218665184e-02,0.000000000000000000e+00,4.432655689578132718e-01,5.432655689578134162e-01
6.693450207563056955e-08,4.567010619603857347e-01,5.670106196038578183e-02,0.000000000000000000e+00,4.432989380396141765e-01,5.432989380396142653e-01
6.856705090674350639e-08,4.543894113939268564e-01,5.438941139392690360e-02,0.000000000000000000e+00,4.456105886060730548e-01,5.456105886060731436e-01
7.009041190726212125e-08,4.523273418005978042e-01,5.232734180059782358e-02,0.000000000000000000e+00,4.476726581994021070e-01,5.476726581994022514e-01
7.019959973785645647e-08,4.521829312125000833e-01,5.218293121250011657e-02,0.000000000000000000e+00,4.478170687874998279e-01,5.478170687874999167e-01
7.183214856896939332e-08,4.500758724457302185e-01,5.007587244573023788e-02,0.000000000000000000e+00,4.499241275542696927e-01,5.499241275542698926e-01
7.342036572658895724e-08,4.481162127309540333e-01,4.811621273095404577e-02,0.000000000000000000e+00,4.518837872690458779e-01,5.518837872690460777e-01
7.346469740008233017e-08,4.480627454733416837e-01,4.806274547334171005e-02,0.000000000000000000e+00,4.519372545266582275e-01,5.519372545266584273e-01
7.509724623119528025e-08,4.461388508786843232e-01,4.613885087868436347e-02,0.000000000000000000e+00,4.538611491213155880e-01,5.538611491213156768e-01
7.672979506230821710e-08,4.442996948796837375e-01,4.429969487968374309e-02,0.000000000000000000e+00,4.557003051203161736e-01,5.557003051203163180e-01
7.690852367308685097e-08,4.441033017055951992e-01,4.410330170559521173e-02,0.000000000000000000e+00,4.558966982944047119e-01,5.558966982944049118e-01
7.836234389342115394e-08,4.425408842763293715e-01,4.254088427632937708e-02,0.000000000000000000e+00,4.574591157236705397e-01,5.574591157236707950e-01
7.999489272453410403e-08,4.408581930381212377e-01,4.085819303812128489e-02,0.000000000000000000e+00,4.591418069618786735e-01,5.591418069618788733e-01
8.056240193082682221e-08,4.402904002408997153e-01,4.029040024089973471e-02,0.000000000000000000e+00,4.597095997591001959e-01,5.597095997591003957e-01
8.162744155564704087e-08,4.392479510683654498e-01,3.924795106836548308e-02,0.000000000000000000e+00,4.607520489316344614e-01,5.607520489316346612e-01
8.325999038675997772e-08,4.377066811494681464e-01,3.770668114946815891e-02,0.000000000000000000e+00,4.622933188505317648e-01,5.622933188505320201e-01
8.438987377331848145e-08,4.366785466310392216e-01,3.667854663103923413e-02,0.000000000000000000e+00,4.633214533689606895e-01,5.633214533689610004e-01
8.489253921787291457e-08,4.362309676842319739e-01,3.623096768423197944e-02,0.000000000000000000e+00,4.637690323157679373e-01,5.637690323157682482e-01
8.652508804898586465e-08,4.348175134537184405e-01,3.481751345371843914e-02,0.000000000000000000e+00,4.651824865462814707e-01,5.651824865462817815e-01
8.815763688009880150e-08,4.334634097601269276e-01,3.346340976012692620e-02,0.000000000000000000e+00,4.665365902398729836e-01,5.665365902398732389e-01
8.839918652861781335e-08,4.332679328492905491e-01,3.326793284929058236e-02,0.000000000000000000e+00,4.667320671507093621e-01,5.667320671507095620e-01
8.979018571121173834e-08,4.321659270457853252e-01,3.216592704578535855e-02,0.000000000000000000e+00,4.678340729542145859e-01,5.678340729542148413e-01
9.142273454232468843e-08,4.309223729928539637e-01,3.092237299285394148e-02,0.000000000000000000e+00,4.690776270071459475e-01,5.690776270071462584e-01
9.259897935043538163e-08,4.300583509800466331e-01,3.005835098004662129e-02,0.000000000000000000e+00,4.699416490199532781e-01,5.699416490199535890e-01
9.305528337343762527e-08,4.297301441675947520e-01,2.973014416759476794e-02,0.000000000000000000e+00,4.702698558324051592e-01,5.702698558324054146e-01
9.468783220455056212e-08,4.285869051012394793e-01,2.858690510123949868e-02,0.000000000000000000e+00,4.714130948987604319e-01,5.714130948987606873e-01
9.632038103566351220e-08,4.274904863642242647e-01,2.749048636422424599e-02,0.000000000000000000e+00,4.725095136357756465e-01,5.725095136357759573e-01
9.699830183354095591e-08,4.270484398494969747e-01,2.704843984949699409e-02,0.000000000000000000e+00,4.729515601505029365e-01,5.729515601505031919e-01
9.795292986677644905e-08,4.264387570250097181e-01,2.643875702500969593e-02,0.000000000000000000e+00,4.735612429749901930e-01,5.735612429749904484e-01
9.958547869788938590e-08,4.254296248805627401e-01,2.542962488056272827e-02,0.000000000000000000e+00,4.745703751194371711e-01,5.745703751194374265e-01
1.012180275290023227e-07,4.244611397777935391e-01,2.446113977779350648e-02,0.000000000000000000e+00,4.755388602222063721e-01,5.755388602222066829e-01
1.016066335135742044e-07,4.242364083360521954e-01,2.423640833605220091e-02,0.000000000000000000e+00,4.757635916639477158e-01,5.757635916639479712e-01
1.028505763601152728e-07,4.235316090431024971e-01,2.353160904310246451e-02,0.000000000000000000e+00,4.764683909568974141e-01,5.764683909568977249e-01
1.044831251912282097e-07,4.226393400028900516e-01,2.263934000289005016e-02,0.000000000000000000e+00,4.773606599971098596e-01,5.773606599971101705e-01
1.061156740223411465e-07,4.217826648223752528e-01,2.178266482237522020e-02,0.000000000000000000e+00,4.782173351776246584e-01,5.782173351776249692e-01
1.064339042932799777e-07,4.216196902245404887e-01,2.161969022454045958e-02,0.000000000000000000e+00,4.783803097754594225e-01,5.783803097754597333e-01
1.077482228534540966e-07,4.209599881178290870e-01,2.095998811782905785e-02,0.000000000000000000e+00,4.790400118821708242e-01,5.790400118821711350e-01
1.093807716845670334e-07,4.201698047258452529e-01,2.016980472584523065e-02,0.000000000000000000e+00,4.798301952741546583e-01,5.798301952741550247e-01
1.110133205156799703e-07,4.194108043068897063e-01,1.941080430688967712e-02,0.000000000000000000e+00,4.805891956931102049e-01,5.805891956931105158e-01
1.114905158391817623e-07,4.191946483139456503e-01,1.919464831394564891e-02,0.000000000000000000e+00,4.808053516860542609e-01,5.808053516860545162e-01
1.126458693467929071e-07,4.186816765214283476e-01,1.868167652142834270e-02,0.000000000000000000e+00,4.813183234785715636e-01,5.813183234785718190e-01
1.142784181779058572e-07,4.179811260942269957e-01,1.798112609422700126e-02,0.000000000000000000e+00,4.820188739057729155e-01,5.820188739057732263e-01
1.159109670090187941e-07,4.173079182565606615e-01,1.730791825656066707e-02,0.000000000000000000e+00,4.826920817434392497e-01,5.826920817434395605e-01
1.167873639947985385e-07,4.169573778783793871e-01,1.695737787837939270e-02,0.000000000000000000e+00,4.830426221216205240e-01,5.830426221216208349e-01
1.175435158401317309e-07,4.166608693149558840e-01,1.666086931495588605e-02,0.000000000000000000e+00,4.833391306850440272e-01,5.833391306850442826e-01
1.191760646712446810e-07,4.160389529686264187e-01,1.603895296862639305e-02,0.000000000000000000e+00,4.839610470313734925e-01,5.839610470313738588e-01
1.208086135023576178e-07,4.154411429167859104e-01,1.544114291678593681e-02,0.000000000000000000e+00,4.845588570832140007e-01,5.845588570832143116e-01
1.223358622587001345e-07,4.149028107678676136e-01,1.490281076786759314e-02,0.000000000000000000e+00,4.850971892321322976e-01,5.850971892321326084e-01
1.224411623334705547e-07,4.148664215548623080e-01,1.486642155486230660e-02,0.000000000000000000e+00,4.851335784451376032e-01,5.851335784451379141e-01
1.240737111645834915e-07,4.143138227975134980e-01,1.431382279751344973e-02,0.000000000000000000e+00,4.856861772024864132e-01,5.856861772024868351e-01
1.257062599956964284e-07,4.137824060665072357e-01,1.378240606650718916e-02,0.000000000000000000e+00,4.862175939334926755e-01,5.862175939334930419e-01
1.273388088268093917e-07,4.132713595923850347e-01,1.327135959238499169e-02,0.000000000000000000e+00,4.867286404076148765e-01,5.867286404076152984e-01
1.281479663779911257e-07,4.130253641302056300e-01,1.302536413020562514e-02,0.000000000000000000e+00,4.869746358697942812e-01,5.869746358697945920e-01
1.289713576579223286e-07,4.127798716056883532e-01,1.277987160568834317e-02,0.000000000000000000e+00,4.872201283943115580e-01,5.872201283943119243e-01
1.306039064890352654e-07,4.123071348487957755e-01,1.230713484879570295e-02,0.000000000000000000e+00,4.876928651512041357e-01,5.876928651512045576e-01
1.322364553201482022e-07,4.118523866151265755e-01,1.185238661512652905e-02,0.000000000000000000e+00,4.881476133848733356e-01,5.881476133848737575e-01
1.338690041512611391e-07,4.114148728974351688e-01,1.141487289743511185e-02,0.000000000000000000e+00,4.885851271025647424e-01,5.885851271025651643e-01
1.342362001102163996e-07,4.113187745017040098e-01,1.131877450170395809e-02,0.000000000000000000e+00,4.886812254982959014e-01,5.886812254982963788e-01
1.355015529823740759e-07,4.109939462965704338e-01,1.099394629657038901e-02,0.000000000000000000e+00,4.890060537034294774e-01,5.890060537034298438e-01
1.371341018134870128e-07,4.105889594133813603e-01,1.058895941338130683e-02,0.000000000000000000e+00,4.894110405866185509e-01,5.894110405866189728e-01
1.387666506445999761e-07,4.101992665991937570e-01,1.019926659919372092e-02,0.000000000000000000e+00,4.898007334008061542e-01,5.898007334008065206e-01
1.403991994757129129e-07,4.098242611896628640e-01,9.824261189662800153e-03,0.000000000000000000e+00,4.901757388103370472e-01,5.901757388103374691e-01
1.406136822091997760e-07,4.097760508235554489e-01,9.776050823555378078e-03,0.000000000000000000e+00,4.902239491764444623e-01,5.902239491764449397e-01
1.420317483068258498e-07,4.094633342070772009e-01,9.463334207077130078e-03,0.000000000000000000e+00,4.905366657929227103e-01,5.905366657929231877e-01
1.436642971379387866e-07,4.091159657565482943e-01,9.115965756548216614e-03,0.000000000000000000e+00,4.908840342434516169e-01,5.908840342434520387e-01
1.452968459690517235e-07,4.087816359431876156e-01,8.781635943187574359e-03,0.000000000000000000e+00,4.912183640568122955e-01,5.912183640568127174e-01
1.469293948001646603e-07,4.084598248721068026e-01,8.459824872106712704e-03,0.000000000000000000e+00,4.915401751278931086e-01,5.915401751278935860e-01
1.472941546929635550e-07,4.083895886385072171e-01,8.389588638507135959e-03,0.000000000000000000e+00,4.916104113614926940e-01,5.916104113614931714e-01
1.485619436312776237e-07,4.081500468012018712e-01,8.150046801201802152e-03,0.000000000000000000e+00,4.918499531987980400e-01,5.918499531987985174e-01
1.501944924623905605e-07,4.078518069575153282e-01,7.851806957515257424e-03,0.000000000000000000e+00,4.921481930424845830e-01,5.921481930424850049e-01
1.518270412935034973e-07,4.075646853439262030e-01,7.564685343926143453e-03,0.000000000000000000e+00,4.924353146560737082e-01,5.924353146560741301e-01
1.534595901246164342e-07,4.072882620305124379e-01,7.288262030512404448e-03,0.000000000000000000e+00,4.927117379694874733e-01,5.927117379694878396e-01
