# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
1.151650943765774375e-08,4.226393400028937153e-01,2.263934000289359594e-02,0.000000000000000000e+00,4.773606599971064179e-01,5.773606599971061737e-01
1.169645489762114641e-08,4.217826648223839126e-01,2.178266482238375157e-02,0.000000000000000000e+00,4.782173351776162207e-01,5.782173351776160874e-01
1.173153139358074918e-08,4.216196902245456513e-01,2.161969022454551109e-02,0.000000000000000000e+00,4.783803097754544820e-01,5.783803097754542932e-01
1.187640035758454907e-08,4.209599881178259784e-01,2.095998811782582086e-02,0.000000000000000000e+00,4.790400118821741549e-01,5.790400118821740216e-01
1.205634581754795008e-08,4.201698047258412005e-01,2.016980472584104997e-02,0.000000000000000000e+00,4.798301952741589327e-01,5.798301952741587995e-01
1.223629127751135274e-08,4.194108043068895952e-01,1.941080430688944120e-02,0.000000000000000000e+00,4.805891956931105380e-01,5.805891956931104048e-01
1.228888947876784986e-08,4.191946483139467050e-01,1.919464831394657872e-02,0.000000000000000000e+00,4.808053516860534282e-01,5.808053516860531840e-01
1.241623673747475540e-08,4.186816765214311786e-01,1.868167652143102458e-02,0.000000000000000000e+00,4.813183234785689546e-01,5.813183234785688214e-01
1.259618219743815640e-08,4.179811260942343232e-01,1.798112609423419342e-02,0.000000000000000000e+00,4.820188739057658101e-01,5.820188739057655658e-01
1.277612765740155906e-08,4.173079182565584411e-01,1.730791825655832172e-02,0.000000000000000000e+00,4.826920817434416922e-01,5.826920817434414479e-01
1.287272731537882907e-08,4.169573778783758344e-01,1.695737787837569427e-02,0.000000000000000000e+00,4.830426221216242988e-01,5.830426221216241656e-01
1.295607311736496172e-08,4.166608693149527198e-01,1.666086931495256926e-02,0.000000000000000000e+00,4.833391306850474134e-01,5.833391306850472802e-01
1.313601857732836438e-08,4.160389529686261967e-01,1.603895296862607733e-02,0.000000000000000000e+00,4.839610470313739365e-01,5.839610470313737478e-01
1.331596403729176704e-08,4.154411429167881309e-01,1.544114291678799419e-02,0.000000000000000000e+00,4.845588570832120023e-01,5.845588570832117581e-01
1.348430294066855893e-08,4.149028107678746635e-01,1.490281076787447999e-02,0.000000000000000000e+00,4.850971892321254697e-01,5.850971892321252810e-01
1.349590949725516805e-08,4.148664215548685807e-01,1.486642155486842323e-02,0.000000000000000000e+00,4.851335784451315525e-01,5.851335784451313637e-01
1.367585495721857071e-08,4.143138227975118881e-01,1.431382279751173929e-02,0.000000000000000000e+00,4.856861772024882451e-01,5.856861772024880564e-01
1.385580041718197337e-08,4.137824060665046821e-01,1.378240606650452289e-02,0.000000000000000000e+00,4.862175939334954511e-01,5.862175939334952623e-01
1.403574587714537437e-08,4.132713595923848127e-01,1.327135959238464127e-02,0.000000000000000000e+00,4.867286404076153206e-01,5.867286404076151873e-01
1.412493416049431845e-08,4.130253641302066292e-01,1.302536413020646128e-02,0.000000000000000000e+00,4.869746358697935040e-01,5.869746358697933708e-01
1.421569133710877703e-08,4.127798716056901296e-01,1.277987160568994605e-02,0.000000000000000000e+00,4.872201283943100036e-01,5.872201283943098149e-01
1.439563679707217969e-08,4.123071348488011045e-01,1.230713484880095569e-02,0.000000000000000000e+00,4.876928651511990287e-01,5.876928651511988955e-01
1.457558225703558235e-08,4.118523866151254653e-01,1.185238661512528525e-02,0.000000000000000000e+00,4.881476133848746679e-01,5.881476133848745347e-01
1.475552771699898501e-08,4.114148728974331148e-01,1.141487289743294865e-02,0.000000000000000000e+00,4.885851271025670184e-01,5.885851271025669407e-01
1.479600138888657475e-08,4.113187745017021779e-01,1.131877450170202734e-02,0.000000000000000000e+00,4.886812254982979553e-01,5.886812254982978221e-01
1.493547317696238767e-08,4.109939462965701562e-01,1.099394629657001604e-02,0.000000000000000000e+00,4.890060537034299770e-01,5.890060537034298438e-01
1.511541863692579033e-08,4.105889594133826925e-01,1.058895941338255237e-02,0.000000000000000000e+00,4.894110405866174407e-01,5.894110405866173075e-01
1.529536409688918968e-08,4.101992665991984199e-01,1.019926659919826589e-02,0.000000000000000000e+00,4.898007334008017133e-01,5.898007334008016356e-01
1.547530955685259234e-08,4.098242611896620313e-01,9.824261189661903301e-03,0.000000000000000000e+00,4.901757388103381019e-01,5.901757388103379132e-01
1.549895062252608964e-08,4.097760508235542831e-01,9.776050823554116934e-03,0.000000000000000000e+00,4.902239491764458501e-01,5.902239491764457169e-01
1.565525501681599500e-08,4.094633342070755355e-01,9.463334207075364130e-03,0.000000000000000000e+00,4.905366657929245977e-01,5.905366657929245200e-01
