# t,R1(MeOH),R2(MeOH),P1(MeOH),P2(MeOH),MeO-(MeOH),TS1#(MeOH),Br-(MeOH),TS2#(MeOH)
1.302650308650833873e-03,3.203531620369632349e-01,7.641282267350454904e-02,3.615064181084897158e-04,2.872508871423710714e-03,5.967659847104678228e-01,0.000000000000000000e+00,3.234015289532199671e-03,0.000000000000000000e+00
1.342855531582159154e-03,3.196957827914256312e-01,7.692514780226426818e-02,3.839382643848988572e-04,2.995131141925166333e-03,5.966209305936900353e-01,0.000000000000000000e+00,3.379069406310064323e-03,0.000000000000000000e+00
1.344671286349247890e-03,3.196670181064747429e-01,7.694733998126061791e-02,3.849620879715613285e-04,3.000679824293050069e-03,5.966143580877354413e-01,0.000000000000000000e+00,3.385641912264610205e-03,0.000000000000000000e+00
1.386692264047661906e-03,3.190225952558456424e-01,7.743916611269065220e-02,4.089068489440312888e-04,3.129331782519641485e-03,5.964617613685364583e-01,0.000000000000000000e+00,3.538238631463672124e-03,0.000000000000000000e+00
1.428713241746075923e-03,3.184168873984984938e-01,7.789138558671246382e-02,4.333159509791612842e-04,3.258411063809859426e-03,5.963082729852110520e-01,0.000000000000000000e+00,3.691727014789019951e-03,0.000000000000000000e+00
1.470734219444489940e-03,3.178469091204787489e-01,7.830706170809344224e-02,4.581647537242984148e-04,3.387864417703439091e-03,5.961539708285723549e-01,0.000000000000000000e+00,3.846029171427736964e-03,0.000000000000000000e+00
1.486897904940443806e-03,3.176366229702460298e-01,7.845779212419212723e-02,4.678352725598248574e-04,3.437749633001953298e-03,5.960944150944383901e-01,0.000000000000000000e+00,3.905584905561777179e-03,0.000000000000000000e+00
1.512755197142903957e-03,3.173099190993262098e-01,7.868900729654192128e-02,4.834295098809830932e-04,3.517644094250819715e-03,5.959989263958683781e-01,0.000000000000000000e+00,4.001073604131801832e-03,0.000000000000000000e+00
1.554776174841317974e-03,3.168033196584045252e-01,7.903988776741319167e-02,5.090866753788089337e-04,3.647705898803451155e-03,5.958432074258178668e-01,0.000000000000000000e+00,4.156792574182259330e-03,0.000000000000000000e+00
1.596797152539731774e-03,3.163250357803749080e-01,7.936183218702688724e-02,5.351155518952565616e-04,3.778016480702889746e-03,5.956868679674020006e-01,0.000000000000000000e+00,4.313132032598145441e-03,0.000000000000000000e+00
1.638818130238145791e-03,3.158729924478987927e-01,7.965696962170262796e-02,5.614954411078068195e-04,3.908542489290693124e-03,5.955299620696016261e-01,0.000000000000000000e+00,4.470037930398498317e-03,0.000000000000000000e+00
1.646391088035681046e-03,3.157941561462232483e-01,7.970747251426686664e-02,5.662853153001353151e-04,3.932086024209710193e-03,5.955016286604902787e-01,0.000000000000000000e+00,4.498371339509843990e-03,0.000000000000000000e+00
1.680839107936559808e-03,3.154452093848384431e-01,7.992733191670178816e-02,5.882063311383108626e-04,4.039252367321396510e-03,5.953725413015403811e-01,0.000000000000000000e+00,4.627458698459706830e-03,0.000000000000000000e+00
1.722860085634973825e-03,3.150397225772904042e-01,8.017493422878781140e-02,6.152278928995035586e-04,4.170115301022229992e-03,5.952146568060784348e-01,0.000000000000000000e+00,4.785343193921732900e-03,0.000000000000000000e+00
1.764881063333387842e-03,3.146548058482274701e-01,8.040154765724949470e-02,6.425412426996147995e-04,4.301105251823351613e-03,5.950563535054771425e-01,0.000000000000000000e+00,4.943646494522966305e-03,0.000000000000000000e+00
1.806902041031801858e-03,3.142890916510973076e-01,8.060857528535179950e-02,6.701301759639636786e-04,4.432202887586876063e-03,5.948976669364492986e-01,0.000000000000000000e+00,5.102333063550838765e-03,0.000000000000000000e+00
1.822992423189865154e-03,3.141538515078649008e-01,8.068295826153654149e-02,6.807638971745009517e-04,4.482426333423980558e-03,5.948368097694016754e-01,0.000000000000000000e+00,5.163190230598480208e-03,0.000000000000000000e+00
1.848923018730215875e-03,3.139412124393475279e-01,8.079742019635963168e-02,6.979784881178693976e-04,4.563388876174918028e-03,5.947386326357073649e-01,0.000000000000000000e+00,5.261367364292786342e-03,0.000000000000000000e+00
1.890943996428629892e-03,3.136098006664257420e-01,8.096948547353795267e-02,7.260699745866511581e-04,4.694643885449592199e-03,5.945792861399639140e-01,0.000000000000000000e+00,5.420713860036242490e-03,0.000000000000000000e+00
1.932964974127043909e-03,3.132935928589943853e-01,8.112606740618658052e-02,7.543893693910902563e-04,4.825950365427883124e-03,5.944196602651811157e-01,0.000000000000000000e+00,5.580339734818973163e-03,0.000000000000000000e+00
1.974985951825457709e-03,3.129913329845005476e-01,8.126845464796113305e-02,7.829210080108048092e-04,4.957291359527406065e-03,5.942597876324619000e-01,0.000000000000000000e+00,5.740212367538210549e-03,0.000000000000000000e+00
2.017006929523871943e-03,3.127020199788497767e-01,8.139767422154202403e-02,8.116516007472771585e-04,5.088654198860848542e-03,5.940996942003919923e-01,0.000000000000000000e+00,5.900305799608125158e-03,0.000000000000000000e+00
2.018537028752204546e-03,3.126917184403822381e-01,8.140214244097866703e-02,8.127013607121505619e-04,5.093437757926863770e-03,5.940938608813610688e-01,0.000000000000000000e+00,5.906139118639013898e-03,0.000000000000000000e+00
2.059027907222285743e-03,3.124247828802670934e-01,8.151461964668745008e-02,8.405691269698653892e-04,5.220028346075517023e-03,5.939394025269547628e-01,0.000000000000000000e+00,6.060597473045381545e-03,0.000000000000000000e+00
2.235056868373732752e-03,3.113756380259302681e-01,8.189062899878225832e-02,9.634740809877884952e-04,5.770258894299588708e-03,5.932662670247127457e-01,0.000000000000000000e+00,6.733732975287376119e-03,0.000000000000000000e+00
2.474801865761483768e-03,3.101679516868973141e-01,8.217902855019502961e-02,1.134417665906683071e-03,6.518602097000835392e-03,5.923469802370926462e-01,0.000000000000000000e+00,7.653019762907517162e-03,0.000000000000000000e+00
2.740263284322121563e-03,3.090284820678637634e-01,8.229980996298047469e-02,1.326865833462144125e-03,7.344842135693497968e-03,5.913282920308444712e-01,0.000000000000000000e+00,8.671707969155640142e-03,0.000000000000000000e+00
3.034199614640005135e-03,3.079168615272920295e-01,8.228486252162812986e-02,1.542197066915093400e-03,8.256078884164630427e-03,5.902017240489204619e-01,0.000000000000000000e+00,9.798275951079724044e-03,0.000000000000000000e+00
3.359665238794378329e-03,3.067952519261580302e-01,8.216265750256267208e-02,1.781902470864725821e-03,9.260188100414448384e-03,5.889579094287209493e-01,0.000000000000000000e+00,1.104209057127917247e-02,0.000000000000000000e+00
3.720042169375363788e-03,3.056294585710199740e-01,8.195705937928628171e-02,2.047639682419113809e-03,1.036584236727454075e-02,5.875865179503064750e-01,0.000000000000000000e+00,1.241348204969365369e-02,0.000000000000000000e+00
4.119075193008517842e-03,3.043900078878044035e-01,8.168617743398819131e-02,2.341288923539631018e-03,1.158252575466765105e-02,5.860761853217928419e-01,0.000000000000000000e+00,1.392381467820727990e-02,0.000000000000000000e+00
4.560910783575083775e-03,3.030528105723747090e-01,8.136164791299879684e-02,2.665008746680655200e-03,1.292053276794575926e-02,5.844144584853736557e-01,0.000000000000000000e+00,1.558554151462641403e-02,0.000000000000000000e+00
5.050140189487063898e-03,3.015972015667197637e-01,8.099061372241340984e-02,3.021222396955177119e-03,1.439096231391152197e-02,5.825878152891333928e-01,0.000000000000000000e+00,1.741218471086669953e-02,0.000000000000000000e+00
5.591847142750097817e-03,3.000056848057180980e-01,8.057596471894207246e-02,3.412634939308296401e-03,1.600571553603143821e-02,5.805816495246604036e-01,0.000000000000000000e+00,1.941835047533973721e-02,0.000000000000000000e+00
6.191660685573632458e-03,2.982627078116726893e-01,8.011758560780872507e-02,3.842216650996213394e-03,1.777748992952228602e-02,5.783802934194816059e-01,0.000000000000000000e+00,2.161970658051850028e-02,0.000000000000000000e+00
6.855813663465770702e-03,2.963533286593369453e-01,7.961372945122749401e-02,4.313170079199386484e-03,1.971977181023608708e-02,5.759670581105645892e-01,0.000000000000000000e+00,2.403294188943547530e-02,0.000000000000000000e+00
7.591207492632380191e-03,2.942629109183718672e-01,7.906135596140302646e-02,4.828918612710494072e-03,2.184681450751449830e-02,5.733242668797751129e-01,0.000000000000000000e+00,2.667573312022499324e-02,0.000000000000000000e+00
8.405483874698334648e-03,2.919765036034918104e-01,7.845682852473541413e-02,5.393074666991210832e-03,2.417359320478147319e-02,5.704333321282273328e-01,0.000000000000000000e+00,2.956666787177268663e-02,0.000000000000000000e+00
9.307104203960296640e-03,2.894786145731887417e-01,7.779618582702792218e-02,6.009422715886580425e-03,2.671577688389667124e-02,5.672748004002168276e-01,0.000000000000000000e+00,3.272519959978325427e-02,0.000000000000000000e+00
1.020386739203261485e-02,2.870286884427747376e-01,7.714803586716566242e-02,6.613944109682098546e-03,2.920933158037740396e-02,5.641767243099405915e-01,0.000000000000000000e+00,3.582327569005950424e-02,0.000000000000000000e+00
1.030543749231618497e-02,2.867533412951494554e-01,7.707517879630246260e-02,6.681886663032537456e-03,2.948959324551544969e-02,5.638285200914521234e-01,0.000000000000000000e+00,3.617147990854798628e-02,0.000000000000000000e+00
1.141085772552603676e-02,2.837843445637002193e-01,7.628943846571693832e-02,7.414497363526922902e-03,3.251171960705584452e-02,5.600737830294172381e-01,0.000000000000000000e+00,3.992621697058276742e-02,0.000000000000000000e+00
1.263485166246276423e-02,2.805550150146290389e-01,7.543451806770996859e-02,8.211351674032980885e-03,3.579911524362795056e-02,5.559895330823391157e-01,0.000000000000000000e+00,4.401046691766093144e-02,0.000000000000000000e+00
1.399013819752789253e-02,2.770485062670761112e-01,7.450587862733297484e-02,9.076609261350825769e-03,3.936900584424002369e-02,5.515543848944092220e-01,0.000000000000000000e+00,4.844561510559084599e-02,0.000000000000000000e+00
1.549080052656342903e-02,2.732482762661387898e-01,7.349905060285065461e-02,1.001435420998819312e-02,4.323831892102225627e-02,5.467473268689896360e-01,0.000000000000000000e+00,5.325267313101045286e-02,0.000000000000000000e+00
1.715243248963618100e-02,2.691382658192516542e-01,7.240967936926383242e-02,1.102855152446773242e-02,4.742350328701670781e-02,5.415479451885155671e-01,0.000000000000000000e+00,5.845205481148443155e-02,0.000000000000000000e+00
1.899230061138715633e-02,2.647030769728495603e-01,7.123357243351598200e-02,1.212300328333423133e-02,5.194034731030010982e-02,5.359366494063656505e-01,0.000000000000000000e+00,6.406335059363434115e-02,0.000000000000000000e+00
2.040773478406522970e-02,2.613708379418557270e-01,7.034956860546941193e-02,1.294529361714930396e-02,5.533429983552543008e-02,5.317204065473252195e-01,0.000000000000000000e+00,6.827959345267474445e-02,0.000000000000000000e+00
2.102952352275650610e-02,2.599283453120456167e-01,6.996679275600004022e-02,1.330125709480139799e-02,5.680360483715284070e-02,5.298951380680457790e-01,0.000000000000000000e+00,7.010486193195424043e-02,0.000000000000000000e+00
