# t,He(g),He(aq),Ne(g),Ne(aq),Ar(g),Ar(aq)
1.539875925641773745e-02,9.860744980399985815e-01,1.392550196000154686e-02,9.861522635326832598e-01,1.384773646731671595e-02,9.863475119937838986e-01,1.365248800621602157e-02
1.570318359225559429e-02,9.858269035013141890e-01,1.417309649868592029e-02,9.859075538020123375e-01,1.409244619798763823e-02,9.861099923754994556e-01,1.389000762450043509e-02
1.676152125558683439e-02,9.849738857408439907e-01,1.502611425915605439e-02,9.850649066358269090e-01,1.493509336417308056e-02,9.852931692348479986e-01,1.470683076515196148e-02
1.808831959666577435e-02,9.839212987339710503e-01,1.607870126602901559e-02,9.840260504318060208e-01,1.597394956819397221e-02,9.842884502403431712e-01,1.571154975965670386e-02
1.828529591518563910e-02,9.837666083138461026e-01,1.623339168615398065e-02,9.838734658851326920e-01,1.612653411486728722e-02,9.841410960495829974e-01,1.585890395041695405e-02
1.847728043923282243e-02,9.836162273604103223e-01,1.638377263958977481e-02,9.837251539094759023e-01,1.627484609052401790e-02,9.839979214755575354e-01,1.600207852444233969e-02
1.980907057478444033e-02,9.825835388635456580e-01,1.741646113645447386e-02,9.827072573758086627e-01,1.729274262419131653e-02,9.830167171888085642e-01,1.698328281119133171e-02
2.083573078725794656e-02,9.817998376615860723e-01,1.820016233841403527e-02,9.819354692263989604e-01,1.806453077360101536e-02,9.822744340927274109e-01,1.772556590727249887e-02
2.133284523438324504e-02,9.814241902921809757e-01,1.857580970781912838e-02,9.815657447913258560e-01,1.843425520867404688e-02,9.819193641984322873e-01,1.808063580156761899e-02
2.155580162204790914e-02,9.812565162719008027e-01,1.874348372809926319e-02,9.814007593234266302e-01,1.859924067657335589e-02,9.817610275649674145e-01,1.823897243503249874e-02
2.285661989398204627e-02,9.802880836546414844e-01,1.971191634535859882e-02,9.804484012410423777e-01,1.955159875895755989e-02,9.808483817647359881e-01,1.915161823526394941e-02
2.400044266793641828e-02,9.794502494840630069e-01,2.054975051593712493e-02,9.796252323280484342e-01,2.037476767195153110e-02,9.800613844357325410e-01,1.993861556426738263e-02
2.438039455358085097e-02,9.791747428988581969e-01,2.082525710114184817e-02,9.793547033213144681e-01,2.064529667868554227e-02,9.798031199445939032e-01,2.019688005540603085e-02
2.463432280486299586e-02,9.789913906228996376e-01,2.100860937710043869e-02,9.791747066024403257e-01,2.082529339755965353e-02,9.796313876433008216e-01,2.036861235669909162e-02
2.590416921317965568e-02,9.780837038023237895e-01,2.191629619767634929e-02,9.782841413860726698e-01,2.171585861392730937e-02,9.787829482597459885e-01,2.121705174025396989e-02
2.742794387277845691e-02,9.770145348845933331e-01,2.298546511540671897e-02,9.772362436120095586e-01,2.276375638799035123e-02,9.777872888412671992e-01,2.221271115873267588e-02
2.764583849437946342e-02,9.768634094395807210e-01,2.313659056041932061e-02,9.770882223995788207e-01,2.291177760042118622e-02,9.776468823778092787e-01,2.235311762219067619e-02
