# t,AcOH(aq),AcO-(aq),H+(aq),AcOH(g),AcO-(g)
2.464414882242895333e-03,9.975667587325252883e-02,2.433179365248571780e-04,2.433179365248571780e-04,6.190222636280401560e-09,1.562784687524671186e-60
2.494839757332314046e-03,9.975374560832998838e-02,2.462482016292302572e-04,2.462482016292302572e-04,6.190040803598161327e-09,1.581605221271200956e-60
2.501682977560491621e-03,9.975308688538614410e-02,2.469069246139375760e-04,2.469069246139375760e-04,6.189999927648571010e-09,1.585836073334653532e-60
2.525264632421732325e-03,9.975081794753302977e-02,2.491758626078485663e-04,2.491758626078485663e-04,6.189859132506786994e-09,1.600409029214808432e-60
2.555689507511150604e-03,9.974789291812084790e-02,2.521008922015386712e-04,2.521008922015386712e-04,6.189677624697809974e-09,1.619195936275021662e-60
2.586114382600569316e-03,9.974497054735260992e-02,2.550232631511269209e-04,2.550232631511269209e-04,6.189496281862761679e-09,1.637965767371369247e-60
2.616539257689987595e-03,9.974205086248746910e-02,2.579429481974395560e-04,2.579429481974395560e-04,6.189315105693174351e-09,1.656718347423378957e-60
2.620536449229265465e-03,9.974166747808464739e-02,2.583263326240589587e-04,2.583263326240589587e-04,6.189291315413877340e-09,1.659180752455714313e-60
2.646964132779406308e-03,9.973913389078462033e-02,2.608599200813030341e-04,2.608599200813030341e-04,6.189134097880579402e-09,1.675453501350578842e-60
2.677389007868824587e-03,9.973621965950321688e-02,2.637741515435437041e-04,2.637741515435437041e-04,6.188953260116509899e-09,1.694171054072496948e-60
2.707813882958243299e-03,9.973330819590243979e-02,2.666856153249879150e-04,2.666856153249879150e-04,6.188772594092497257e-09,1.712870830508661600e-60
2.738238758047661578e-03,9.973039952724145618e-02,2.695942841664619618e-04,2.695942841664619618e-04,6.188592101500073715e-09,1.731552655578600293e-60
2.745036578709771687e-03,9.972975002904044262e-02,2.702437824077708766e-04,2.702437824077708766e-04,6.188551797969755757e-09,1.735724258875046935e-60
2.768663633137079857e-03,9.972749368077943322e-02,2.725001308087923561e-04,2.725001308087923561e-04,6.188411784030769859e-09,1.750216354201841351e-60
2.799088508226498569e-03,9.972459068377556579e-02,2.754031279928053928e-04,2.754031279928053928e-04,6.188231643376118756e-09,1.768861751297913374e-60
2.829513383315916848e-03,9.972169056348900718e-02,2.783032484593273665e-04,2.783032484593273665e-04,6.188051681227652647e-09,1.787488671786343582e-60
2.859938258405335561e-03,9.971879334717893839e-02,2.812004649491847350e-04,2.812004649491847350e-04,6.187871899276902118e-09,1.806096940586660851e-60
